GENEID	CHROMOSOME	START	END	STRAND	BAND	SYMBOL	ENTREZID	REFSEQID
ENSG00000163492	2	179694484	179914813	-1	q31.2	CCDC141	285025	NM_173648
ENSG00000163499	2	219854911	219858143	-1	q35	CRYBA2	1412	NM_057093,NM_057094,NM_005209
ENSG00000068985	X	49452053	49460596	-1	p11.23	PAGE1	8712	NM_003785
ENSG00000163497	2	219845809	219850379	-1	q35	FEV	54738	NM_017521
ENSG00000176787	11	5079880	5080857	-1	p15.4	OR52E2	119678	NM_001005164
ENSG00000163481	2	219528587	219537134	-1	q35	RNF25	64320	NM_022453
ENSG00000188784	1	20246502	20250110	-1	p36.13	PLA2G2E	30814	NM_014589
ENSG00000175482	11	67118248	67124443	-1	q13.2	POLD4	57804	NM_021173
ENSG00000174151	1	110036674	110045554	1	p13.3	CYB561D1	284613	NM_182580,NM_001134400,NM_001134402,NM_001134403,NM_001134404
ENSG00000162174	11	62104920	62160882	1	q12.3	ASRGL1	80150	NM_001083926,NM_025080
ENSG00000175485	11	6220376	6221489	1	p15.4	OR52W1	120787	NM_001005178
ENSG00000198113	9	140172201	140177093	1	q34.3	C9orf167	54863	NM_017723
ENSG00000174156	6	52761437	52774483	-1	p12.2	GSTA3	2940	NM_000847
ENSG00000186130	9	125670335	125675609	-1	q33.2	ZBTB6	10773	NM_006626
ENSG00000175489	19	18501955	18508415	-1	p13.11	LRRC25	126364	NM_145256
ENSG00000186132	2	120059801	120124404	-1	q14.2	C2orf76	130355	NM_001017927
ENSG00000078328	16	6366996	7763340	1	p13.3	RBFOX1	54715	NM_145893,NM_001142334,NM_018723,NM_001142333,NM_145891,NM_145892
ENSG00000187461	6	13469507	13486415	-1	p23	C6orf114	85411	NM_033069
ENSG00000186136	12	11338599	11339543	-1	p13.2	TAS2R42	353164	NM_181429
ENSG00000092621	1	120202421	120286838	1	p12	PHGDH	26227	NM_006623
ENSG00000080644	15	78885394	78913637	-1	q25.1	CHRNA3	1136	NM_001166694,NM_000743
ENSG00000149100	11	32605344	32627808	1	p13	EIF3M	10480	NM_006360
ENSG00000186141	1	145592605	145611025	-1	q21.1	POLR3C	10623	NM_006468
ENSG00000198121	9	113635543	113800981	-1	q31.3	LPAR1	1902	NM_057159,NM_001401
ENSG00000186143	2	27359723	27362278	-1	p23.3	C2orf53	339779	NM_178553
ENSG00000174165	11	66288108	66313709	-1	q13.2	ZDHHC24	254359	NM_207340
ENSG00000175497	2	115199876	116603328	1	q14.1	DPP10	57628	NM_001178034,NM_001178036,NM_001178037,NM_020868,NM_001004360
ENSG00000162188	11	62475130	62476673	1	q12.3	GNG3	2785	NM_012202
ENSG00000186146	4	9446260	9452240	1	p16.1	DEFB131	100287066,100129216,644414,100128174	NM_001040448
ENSG00000187479	11	43946892	43965888	1	p11.2	C11orf96	387763	NM_001145033
ENSG00000198128	1	248223984	248224922	1	q44	OR2L3	391192	NM_001004687
ENSG00000198129	8	7353368	7366833	1	p23.1	DEFB107B	503614,245910	NM_001040705
ENSG00000077009	19	3933101	3942412	1	p13.3	ITGB1BP3	27231	NM_170678
ENSG00000198125	22	36002811	36033998	-1	q12.3	MB	4151	NM_005368,NM_203377,NM_203378
ENSG00000187474	19	52298411	52329334	1	q13.41	FPR3	2359	NM_002030
ENSG00000187475	6	26107640	26108364	-1	p22.2	HIST1H1T	3010	NM_005323
ENSG00000081985	1	67773047	67862583	1	p31.3	IL12RB2	3595	NM_001559
ENSG00000065029	6	35226686	35263762	1	p21.31	ZNF76	7629	NM_003427
ENSG00000162191	11	62443970	62446567	-1	q12.3	UBXN1	51035	NM_015853
ENSG00000186150	1	110655062	110656569	1	p13.3	UBL4B	164153	NM_203412
ENSG00000174171	15	42184991	42188133	1	q15.1	null	100289090,100510558,100508970	null
ENSG00000162194	11	62430287	62439727	-1	q12.3	C11orf48	79081	NM_024099
ENSG00000198131	19	58740070	58775010	1	q13.43	ZNF544	27300	NM_014480
ENSG00000174175	1	169558037	169599380	-1	q24.2	SELP	6403	NM_003005
ENSG00000198133	14	67936983	67982021	-1	q24.1	TMEM229B	161145	NM_182526
ENSG00000174177	16	88772891	88781784	1	q24.3	CTU2	348180	NM_001012759,NM_001012762
ENSG00000198130	2	191054461	191208919	-1	q32.2	HIBCH	26275	NM_198047,NM_014362
ENSG00000174173	3	101280706	101285290	1	q12.3	RG9MTD1	54931	NM_017819
ENSG00000212900	17	39155447	39156138	-1	q21.2	KRTAP3-2	83897	NM_031959
ENSG00000212901	17	39164776	39165366	-1	q21.2	KRTAP3-1	83896	NM_031958
ENSG00000187486	11	17407406	17410878	-1	p15.1	KCNJ11	3767	NM_000525,NM_001166290
ENSG00000186153	16	78133551	79246031	1	q23.1	WWOX	51741	NM_130791,NM_130844,NM_016373
ENSG00000212907	MT	10470	10766	1	null	MT-ND4L	4539	null
ENSG00000091317	3	32522804	32544900	-1	p22.3	CMTM6	54918	NM_017801
ENSG00000186160	1	47533160	47583991	1	p33	CYP4Z1	199974	NM_178134
ENSG00000054392	1	210501596	210849638	1	q32.2	HHAT	55733	NM_001122834,NM_001170564,NM_001170587,NM_001170580,NM_018194,NM_001170588
ENSG00000187492	3	49828165	49837268	-1	p21.31	CDHR4	389118	NM_001007540
ENSG00000198142	2	110371911	110376563	1	q13	ANKRD57	65124	NM_023016
ENSG00000198143	1	63054424	63088277	-1	p31.3	null	null	null
ENSG00000186166	11	118868852	118886501	1	q23.3	CCDC84	338657	NM_198489
ENSG00000198146	15	35270542	35280474	-1	q14	ZNF770	54989	NM_014106
ENSG00000187498	13	110801311	110959496	-1	q34	COL4A1	1282	NM_001845
ENSG00000089006	20	17922241	17949623	-1	p11.23	SNX5	27131	NM_152227,NM_014426
ENSG00000079689	6	25652464	25702011	1	p22.2	SCGN	10590	NM_006998
ENSG00000089009	12	112842997	112847443	-1	q24.13	RPL6	6128	NM_001024662,NM_000970
ENSG00000212916	1	232940643	232946092	1	q42.2	KIAA1383	54627	NM_019090
ENSG00000066379	6	30026676	30032686	1	p22.1	ZNRD1	30834	NM_170783,NM_014596
ENSG00000198150	17	8261731	8263538	-1	p13.1	null	null	NR_024447
ENSG00000079691	6	25279306	25620758	1	p22.2	LRRC16A	55604	NM_017640,NM_001173977
ENSG00000174194	10	51224677	51252947	-1	q11.23	AGAP8	728404	NM_001077686
ENSG00000186174	11	118764584	118796317	-1	q23.3	BCL9L	283149	NM_182557
ENSG00000089012	20	1609798	1638425	-1	p13	SIRPG	55423	NM_001039508,NM_080816,NM_018556
ENSG00000174197	15	41952610	42062141	1	q15.1	MGA	23269	NM_001164273,NM_001080541
ENSG00000198156	16	28353876	28374829	-1	p11.2	null	728741	null
ENSG00000065054	16	2076888	2089026	1	p13.3	SLC9A3R2	9351	NM_004785,NM_001130012
ENSG00000065057	16	2089816	2097867	-1	p13.3	NTHL1	4913	NM_002528
ENSG00000078369	1	1716725	1822502	-1	p36.33	GNB1	2782	NM_002074
ENSG00000198157	X	80369200	80457441	-1	q21.1	HMGN5	79366	NM_030763
ENSG00000224902	X	49334992	49351917	1	p11.23	GAGE12H	729442	NM_001098410
ENSG00000198153	19	22867969	22869468	1	p12	null	null	null
ENSG00000174196	10	51187938	51192032	1	q11.23	FAM21D	null	null
ENSG00000212928	14	57671888	57673291	1	q22.3	null	null	null
ENSG00000090006	19	41099072	41135725	1	q13.2	LTBP4	8425	NM_001042544,NM_001042545,NM_003573
ENSG00000066382	11	30406040	30608419	-1	p14.1	MPPED2	744	NM_001584,NM_001145399
ENSG00000198160	1	67390578	67454302	1	p31.3	MIER1	57708	NM_001146112,NM_001146113,NM_020948,NM_001077700,NM_001077701,NM_001077702,NM_001077703,NM_001077704,NM_001146110,NM_001146111
ENSG00000198161	1	149553003	149553787	1	q21.2	PPIAL4C	653598,164022,653505	NM_001135789
ENSG00000198162	1	117910071	118071494	1	p12	MAN1A2	10905	NM_006699
ENSG00000186184	13	28194903	28241548	1	q12.2	POLR1D	51082	NM_015972,NM_152705
ENSG00000186185	17	43003360	43025082	-1	q21.31	KIF18B	146909	NM_001080443
ENSG00000089022	12	112280279	112331227	1	q24.12	MAPKAPK5	8550	NM_139078,NM_003668
ENSG00000065060	6	34759857	34850915	1	p21.31	UHRF1BP1	54887	NM_017754
ENSG00000186187	16	75033250	75144611	1	q23.1	ZNRF1	84937	NM_032268
ENSG00000186188	10	95326422	95349829	1	q23.33	GPR120	338557	NM_001195755,NM_181745
ENSG00000198169	8	145946298	145981802	-1	q24.3	ZNF251	90987	NM_138367
ENSG00000212933	21	46074130	46074576	-1	q22.3	KRTAP12-4	386684	NM_198698
ENSG00000212935	21	45977673	45978643	-1	q22.3	KRTAP10-3	386682	NM_198696
ENSG00000198168	11	22835345	22851845	-1	p14.3	SVIP	258010	NM_148893
ENSG00000224916	19	45445495	45452820	1	q13.32	APOC4	346	NM_001646
ENSG00000090013	19	40953693	40971725	-1	q13.2	BLVRB	645	NM_000713
ENSG00000212938	21	31964759	31965394	1	q22.11	KRTAP6-3	337968	NM_181605
ENSG00000077044	2	234263153	234380750	1	q37.1	DGKD	8527	NM_152879,NM_003648
ENSG00000186190	20	31643230	31661434	1	q11.21	C20orf185	359710	NM_182658
ENSG00000186191	20	31667450	31699557	1	q11.21	C20orf186	149954	NM_182519
ENSG00000198171	20	3170996	3185331	-1	p13	DDRGK1	65992	NM_023935
ENSG00000186193	9	139956581	139965040	-1	q34.3	C9orf140	89958	NM_178448
ENSG00000198173	X	37026432	37029739	1	p21.1	FAM47C	442444	NM_001013736
ENSG00000186197	1	236511562	236648026	1	q42.3	EDARADD	128178	NM_145861,NM_080738
ENSG00000186198	15	65337708	65345734	1	q22.31	null	123264	NM_178859
ENSG00000198178	12	7882011	7904201	-1	p13.31	CLEC4C	170482	NM_130441,NM_203503
ENSG00000198176	13	114239013	114295504	1	q34	TFDP1	7027	NM_007111
ENSG00000236902	HSCHR6_MHC_MCF	31750965	31761981	1	null	null	58530	null
ENSG00000090020	1	27425306	27493472	-1	p36.11	SLC9A1	6548	NM_003047
ENSG00000198182	19	38187264	38210691	-1	q13.12	ZNF607	84775	NM_032689,NM_001172677
ENSG00000089041	12	121570622	121623876	1	q24.31	P2RX7	5027	NR_033953,NR_033954,NM_002562
ENSG00000077063	7	117350705	117514193	-1	q31.31	CTTNBP2	83992	NM_033427
ENSG00000198185	20	45129709	45142198	-1	q13.12	ZNF334	55713	NM_199441,NM_018102
ENSG00000198183	20	31823801	31831115	1	q11.21	PLUNC	51297	NM_016583,NM_130852
ENSG00000212950	10	97114703	97117003	-1	q24.1	null	null	null
ENSG00000198189	4	88257762	88312538	-1	q22.1	HSD17B11	51170	NM_016245
ENSG00000089048	20	13694969	13765532	-1	p12.1	ESF1	51575	NM_016649
ENSG00000103811	15	79213400	79241916	-1	q25.1	CTSH	1512	NM_004390
ENSG00000078399	7	27202057	27219632	-1	p15.2	HOXA9	3205	NM_152739
ENSG00000223609	11	5253908	5256600	-1	p15.4	HBD	3045	NM_000519
ENSG00000089050	20	18467184	18477887	-1	p11.23	RBBP9	10741	NM_006606
ENSG00000089053	12	121746048	121837699	-1	q24.31	ANAPC5	51433	NM_016237,NM_001137559
ENSG00000198198	1	43886428	43918321	1	p34.2	KIAA0467	23334	NM_015284
ENSG00000224940	7	127990379	128001739	-1	q32.1	PRRT4	401399	NM_001114726,NM_001174164
ENSG00000224941	HSCHR6_MHC_MANN	31171310	31176939	1	null	null	null	null
ENSG00000089057	20	4833002	4990939	-1	p13	SLC23A2	9962	NM_005116,NM_203327
ENSG00000236925	HSCHR6_MHC_DBB	31530476	31532443	-1	null	null	4050	null
ENSG00000248905	15	33057747	33360085	-1	q13.3	FMN1	342184	NM_001103184
ENSG00000223616	13	23238092	23253791	1	q12.11	null	null	null
ENSG00000223618	HSCHR6_MHC_MANN	33371956	33373655	-1	null	null	null	null
ENSG00000115808	2	37070783	37193615	-1	p22.2	STRN	6801	NM_003162
ENSG00000236927	HSCHR6_MHC_APD	29274553	29275518	1	null	null	null	null
ENSG00000115806	2	171784974	171823639	1	q31.1	GORASP2	26003	NM_001201428,NM_015530
ENSG00000077080	7	100240720	100254084	-1	q22.1	ACTL6B	51412	NM_016188
ENSG00000089060	12	113736572	113772925	-1	q24.13	SLC24A6	80024	NM_024959
ENSG00000089063	20	5080486	5093749	-1	p13	C20orf30	29058	NM_001009923,NM_001009924,NM_001009925,NM_014145
ENSG00000224952	HSCHR6_MHC_SSTO	32159380	32164831	-1	null	null	5089	null
ENSG00000235604	X	140096761	140097876	1	q27.1	SPANXB1	171490,100133171,728695	NM_032461,NM_139019
ENSG00000115816	2	37428755	37458856	-1	p22.2	CEBPZ	10153	NM_005760
ENSG00000090054	9	94793427	94877690	-1	q22.31	SPTLC1	10558	NM_006415,NM_178324
ENSG00000235608	4	1396720	1400119	-1	p16.3	NKX1-1	54729	null
ENSG00000248919	7	99017372	99063787	-1	q22.1	ATP5J2-PTCD1	100526740,26024	null
ENSG00000236939	8	104145191	104153703	-1	q22.3	C8orf56	null	NR_027071
ENSG00000077092	3	25215823	25639423	1	p24.2	RARB	5915	NM_000965,NM_016152
ENSG00000077097	3	25639475	25706398	-1	p24.2	TOP2B	7155	NM_001068
ENSG00000248920	4	9255104	9256696	1	p16.1	null	100287404	null
ENSG00000224963	X	152751314	152752546	1	q28	null	100509091,100507352	null
ENSG00000090060	14	96968720	97033425	1	q32.2	PAPOLA	10914	NM_032632
ENSG00000090061	14	99947739	99977851	1	q32.2	CCNK	8812	NM_001099402
ENSG00000127804	17	2319352	2415200	-1	p13.3	METT10D	79066	NM_024086
ENSG00000115825	2	37477645	37551951	-1	p22.2	PRKD3	23683	NM_005813
ENSG00000115827	2	172290727	172341562	1	q31.1	DCAF17	80067	NM_001164821,NM_025000
ENSG00000236949	HSCHR6_MHC_DBB	30017009	30023013	1	null	null	30834	null
ENSG00000115828	2	37571717	37600465	1	p22.2	QPCT	25797	NM_012413
ENSG00000223638	19	56270380	56274541	1	q13.42	RFPL4A	342931	NM_001145014
ENSG00000223639	HSCHR6_MHC_SSTO	31688317	31697500	-1	null	null	1192	null
ENSG00000212993	8	128427133	128429455	1	q24.21	POU5F1B	5462	NM_001159542
ENSG00000103852	15	99676528	99791422	-1	q26.3	TTC23	64927	NM_001040657,NM_022905,NM_001040655,NM_001040656,NM_001040660,NM_001040658,NM_001040659
ENSG00000224975	X	47064320	47065264	1	p11.23	INE1	null	NR_024616
ENSG00000114503	3	196662273	196669468	-1	q29	NCBP2	22916	NM_007362,NM_001042540
ENSG00000212998	8	94752349	94753001	1	q22.1	C8orf39	null	NR_027259
ENSG00000248933	4	9269345	9270937	1	p16.1	null	728379,391627,100287513	null
ENSG00000224979	HSCHR6_MHC_APD	31776526	31786115	-1	null	null	57819	null
ENSG00000236954	22	18863264	18874837	-1	q11.21	null	null	null
ENSG00000103855	15	73976554	74006859	1	q24.1	CD276	80381	NM_001024736,NM_025240
ENSG00000115839	2	135809835	135933964	1	q21.3	RAB3GAP1	22930	NM_012233,NM_001172435
ENSG00000102524	13	108903588	108959385	1	q33.3	TNFSF13B	10673	NM_006573,NM_001145645
ENSG00000212999	8	93895865	93898013	1	q22.1	null	null	null
ENSG00000212997	8	95558771	95560630	1	q22.1	null	null	null
ENSG00000089091	20	18364011	18447829	-1	p11.23	C20orf12	55184	NM_001099407
ENSG00000089094	12	121866902	122018920	-1	q24.31	KDM2B	84678	NM_032590,NM_001005366
ENSG00000115840	2	172640880	172864766	-1	q31.1	SLC25A12	8604	NM_003705
ENSG00000115841	2	38150330	38294285	1	p22.2	FAM82A1	151393	NM_144713,NM_001170793,NM_001170791,NM_001170792
ENSG00000139800	13	100615275	100624163	-1	q32.3	ZIC5	85416	NM_033132
ENSG00000223654	HSCHR6_MHC_APD	30703731	30706525	-1	null	null	null	null
ENSG00000115844	2	172964166	172967628	-1	q31.1	DLX2	1746	NM_004405
ENSG00000101203	20	61924538	61966203	1	q13.33	COL20A1	57642	NM_020882
ENSG00000236967	HSCHR6_MHC_APD	29974877	29980498	-1	null	null	80352	null
ENSG00000006704	7	73868120	74016931	1	q11.23	GTF2IRD1	9569	NM_001199207,NM_016328,NM_005685
ENSG00000101204	20	61974665	62009753	-1	q13.33	CHRNA4	1137	NM_000744
ENSG00000102539	13	49794474	49796513	1	q14.2	MLNR	2862	NM_001507
ENSG00000224982	12	120031264	120079363	1	q24.23	TMEM233	387890	NM_001136534
ENSG00000235631	7	122341718	122343021	-1	q31.32	RNF148	378925	NM_198085
ENSG00000127824	2	220114433	220142892	-1	q35	TUBA4A	7277	NM_006000
ENSG00000101200	20	3063202	3065370	-1	p13	AVP	551	NM_000490
ENSG00000102531	13	49550048	49783888	1	q14.2	FNDC3A	22862	NM_001079673,NM_014923
ENSG00000115850	2	136545410	136594750	-1	q21.3	LCT	3938	NM_002299
ENSG00000114520	3	125165495	125239041	-1	q21.2	SNX4	8723	NM_003794
ENSG00000126500	11	63870660	63886645	1	q13.1	FLRT1	23769	NM_013280
ENSG00000224994	HSCHR6_MHC_COX	30284058	30301312	1	null	null	56658	null
ENSG00000006712	19	39876275	39881757	-1	q13.2	PAF1	54623	NM_019088
ENSG00000223666	HSCHR6_MHC_MCF	32172915	32174499	-1	null	null	63943	null
ENSG00000103876	15	80445122	80479288	1	q25.1	FAH	2184	NM_000137
ENSG00000102547	13	49882786	50018262	-1	q14.2	CAB39L	81617	NM_001079670,NM_030925
ENSG00000236979	HSCHR6_MHC_MANN	31596159	31600249	-1	null	null	259197	null
ENSG00000102543	13	49822047	49867618	1	q14.2	CDADC1	81602	NM_001193478,NM_030911
ENSG00000114529	3	111805182	111849851	1	q13.2	C3orf52	79669	NM_001171747,NM_024616
ENSG00000101210	20	62119366	62130505	-1	q13.33	EEF1A2	1917	NM_001958
ENSG00000127838	2	219135115	219211516	1	q35	PNKD	25953	NM_015488,NM_022572,NM_001077399
ENSG00000101216	20	62218955	62258454	-1	q13.33	GMEB2	26205	NM_012384
ENSG00000101213	20	62159778	62168723	-1	q13.33	PTK6	5753	NM_005975
ENSG00000224997	14	104177607	104179149	1	q32.33	null	null	null
ENSG00000247626	2	198570087	198573113	1	q33.1	MARS2	92935	NM_138395
ENSG00000248953	11	5141849	5142847	-1	p15.4	OR52A4	390053	NM_001005222
ENSG00000090097	3	51991470	52008032	-1	p21.2	PCBP4	57060	NM_033008,NM_001174100,NM_020418,NM_033010
ENSG00000140807	16	50582241	50670647	1	q12.1	NKD1	85407	NM_033119
ENSG00000006715	7	38762563	38971994	-1	p14.1	VPS41	27072	NM_080631,NM_014396
ENSG00000127837	2	219128850	219134980	-1	q35	AAMP	14	NM_001087
ENSG00000127831	2	219283815	219318018	1	q35	VIL1	7429	NM_007127
ENSG00000236981	11	123893720	123894655	1	q24.1	OR10G9	219870	NM_001001953
ENSG00000235650	HSCHR6_MHC_COX	33161393	33165893	1	null	null	6222	null
ENSG00000101220	20	3734155	3749034	-1	p13	C20orf27	54976	NM_001039140
ENSG00000101222	20	3758151	3762095	-1	p13	SPEF1	25876	NM_015417
ENSG00000102554	13	73629114	73651676	1	q22.1	KLF5	688	NM_001730
ENSG00000101224	20	3767578	3786762	1	p13	CDC25B	994	NM_004358,NM_021872,NM_021873
ENSG00000115866	2	136664247	136743670	-1	q21.3	DARS	1615	NM_001349
ENSG00000235657	HSCHR6_MHC_DBB	29899000	29903640	1	null	null	100507680,100507703	null
ENSG00000235658	HSCHR6_MHC_MANN	30639294	30659275	1	null	null	79969	NM_001190724,NR_033821,NR_033822,NM_001031722
ENSG00000139826	13	108870727	108886603	1	q33.3	ABHD13	84945	NM_032859
ENSG00000113205	5	140480234	140483406	1	q31.3	PCDHB3	56132	NM_018937
ENSG00000113209	5	140514800	140517703	1	q31.3	PCDHB5	26167	NM_015669
ENSG00000103888	15	81071684	81244117	1	q25.1	KIAA1199	57214	NM_018689
ENSG00000223680	HSCHR6_MHC_MCF	30927312	30938427	1	null	null	null	null
ENSG00000223681	15	20644356	20667792	-1	q11.1	null	null	null
ENSG00000101230	20	13202418	13281298	1	p12.1	ISM1	140862	NM_080826
ENSG00000114541	3	69219141	69591734	-1	p14.1	FRMD4B	23150	NM_015123
